text,start,duration,end,dominant_emotion
acromegaly is a disorder that's caused by the development of an adenoma in the pituitary gland in the brain it can affect any person at any age the word,1.28,22.32,23.6,angry
acromegaly has two different parts the prefix acro means ends of a part and the suffix megaly means enlargement therefore the literal translation of acromegaly,12.4,23.121,35.521,angry
is ends of a part enlargement the pituitary gland secretes gh or growth hormone which causes the parts of the body to enlarge in fact the first sign of acromegaly is,23.92,24.079,47.999,angry
enlarged hands and feet other signs and symptoms include changing facial features the jawbone will protrude the nose will enlarge the teeth will space themselves,36.079,19.281000000000002,55.36,angry
out joint aches due to the enlarging soft tissues deepening of the voice thick coarse oily skin enlarged lips nose and tongue,46.0,27.439,73.439,angry
sleep apnea due to the enlarged airway structures carpal tunnel in enlarged internal organs and osteoporosis if it goes undiagnosed,59.359,22.8,82.159,angry
or untreated acromegaly can lead to some very serious medical problems including type 2 diabetes because gh causes the pancreas to release insulin,70.32,23.600999999999996,93.92099999999999,angry
high blood pressure cardiovascular disease arthritis and an increased risk of colon polyps which can lead to colon cancer acromegaly can also be caused by,82.08,28.4,110.47999999999999,angry
non-pituitary tumors these tumors can occur in the brain in the lungs or in the pancreas and they actually can secrete growth,97.68,18.399,116.07900000000001,angry
hormone themselves or they secrete gh rh or growth hormone releasing hormone which causes the pituitary gland to release growth hormone if you're,107.119,26.481,133.6,angry
interested in learning more about acromegaly i've got three great references for you below feel free to check them out until then until next time anyway,120.96,25.999000000000002,146.959,angry
keep studying and have a good day,131.039,7.28,138.319,angry
