text,start,duration
like light in your stomach arms to the,8.929,4.96
side of your shoulders is only raise,11.849,4.53
your head and straighten your elbows the,13.889,5.071
arms may or may not be Street hold the,16.379,11.041
position for few seconds slowly release,18.96,10.739
the upper back by bending arms lower the,27.42,4.5
neck Oh chest shoulders and finally the,29.699,7.621
forehead - do not lie flat on your,31.92,6.15
stomach,37.32,3.3
bend your legs upwards and hold both the,38.07,5.729
ankles with your hands inhale are you,40.62,4.71
raising your thighs and chest,43.799,4.021
simultaneously upwards arching your,45.33,4.469
spine as much as possible,47.82,4.199
holding position or as long as is,49.799,4.461
comfortable,52.019,2.241
city bus rocks now stand on the knees,66.43,7.42
with hands close to your tights stretch,69.53,7.17
your arm stop lean backward is slowly,73.85,5.97
reaching the heels with your hands push,76.7,5.459
the hips forward and bend the hands find,79.82,5.159
backwaters are responsible remain the,82.159,4.411
final position for as long as is,84.979,6.331
comfortable return to the starting,86.57,6.689
position by slowly releasing the hands,91.31,4.259
from the fields one at a time it's,93.259,4.381
important that is us this followed by a,95.569,6.41
forward bending asana like shuttle Kozma,97.64,4.339
sit with the legs outstretched slowly,104.49,5.879
and forward and try to grasp your big,107.909,5.46
toes with your fingers try to touch your,110.369,6.54
knees with the fourth page hold the,113.369,5.131
position for as long as it's comfortable,116.909,4.471
you can ask your instructor to help you,118.5,5.479
with this awesome,121.38,2.599
sit with the legs stretched out bend the,125.55,6.07
left leg place your foot close to your,129.069,5.191
feet bend the right leg bring the foot,131.62,5.85
behind the left knee inhale place your,134.26,5.88
left arm over the right knee to take,137.47,4.98
your torso place your hand next to your,140.14,4.68
left eye look over to your right,142.45,5.25
shoulder hold the ball shoot for few,144.82,5.91
seconds reverse the movements to come,147.7,4.89
out of devotion and repeat the other,150.73,4.28
side,152.59,2.42
