text,start,duration
hello everyone i'm dr ivy ilonzo and,0.08,4.48
you're welcome once again to,2.8,4.16
this close where we constantly bring you,4.56,4.079
this close to getting your natural,6.96,3.599
healthy skin and glow,8.639,4.241
as usual it's powered by beauty secret,10.559,7.361
skincare and spa,12.88,5.04
on today's episode i'm going to be,18.08,3.199
talking about hesitation,19.439,4.0
it's a common condition amongst women,21.279,3.601
characterized by,23.439,3.281
hair growth in the unusual part of the,24.88,4.0
body like the face,26.72,5.28
chest and abdomen the hair is usually,28.88,3.519
dark,32.0,2.079
and coarse studies have shown that,32.399,3.441
hesitation is one of the leading cause,34.079,2.241
of,35.84,3.039
depression lack of confidence and low,36.32,3.36
self-esteem,38.879,3.441
amongst women common causes implicated,39.68,3.039
here,42.32,3.44
includes hormones this is linked to,42.719,5.36
a high production of androgen hormones,45.76,3.04
which yes,48.079,3.601
are usually seen in both men and female,48.8,4.8
but in this case a higher level is,51.68,3.44
produced in the woman,53.6,4.0
causing hair growth due to hormonal,55.12,3.759
imbalance,57.6,3.92
other medical conditions include cushion,58.879,3.52
syndrome,61.52,3.84
polycystic ovary syndrome and also some,62.399,3.841
medications,65.36,3.36
factors that can influence herculism,66.24,5.199
includes family history and obesity,68.72,5.6
what i simply mean is for those who have,71.439,4.241
hesitation in the family,74.32,4.08
and also obesity they are likely to have,75.68,3.759
hesitation,78.4,2.56
let me not bore you with my whole,79.439,4.241
medical talk i'm basically talking about,80.96,5.04
facial hair and i want to introduce to,83.68,4.64
you the use of laser therapy,86.0,5.36
for permanent hair reduction this simply,88.32,3.36
is,91.36,2.56
the use of light beams to destroy hair,91.68,4.399
follicles thereby preventing,93.92,4.72
hair growth for more information you can,96.079,4.641
follow us on instagram at beauty secret,98.64,2.96
skincare,100.72,2.64
and also you can subscribe to our,101.6,4.0
youtube channel below,103.36,12.24
this is disclosed now you know,105.6,10.0
